,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
,건설업,"7,289,272 ","9,277,801 ",-,"8,065,388 ","10,009,373 ",-,"9,002,516 ","10,222,221 ",-,"10,548,781 ","11,121,361 ",-,"11,423,271 ","11,643,617 ",-,"10,732,964 ","10,732,964 ",-,"10,053,019 ","9,907,274 ",-,"10,260,018 ","9,822,480 ",-,"9,711,012 ","9,117,245 ",-
,도매및소매업,"25,222,454 ","28,505,012 ",-,"26,352,181 ","29,611,156 ",-,"28,467,057 ","32,182,637 ",-,"27,721,403 ","29,652,826 ",-,"29,044,058 ","29,309,563 ",-,"29,833,000 ","29,833,000 ",-,"31,832,229 ","31,781,453 ",-,"33,580,440 ","33,048,836 ",-,"36,446,666 ","33,499,486 ",-
,운수업,"7,621,987 ","8,904,291 ",-,"6,509,684 ","7,186,905 ",-,"6,596,000 ","7,037,244 ",-,"7,241,503 ","7,238,186 ",-,"7,930,860 ","7,945,060 ",-,"8,156,043 ","8,156,043 ",-,"8,256,831 ","8,275,132 ",-,"8,665,139 ","8,215,981 ",-,"9,101,157 ","8,791,647 ",-
,숙박및음식점업,"4,596,773 ","5,171,241 ",-,"5,506,596 ","6,193,775 ",-,"5,919,939 ","5,715,464 ",-,"6,029,779 ","5,873,219 ",-,"5,636,838 ","5,832,206 ",-,"5,466,215 ","5,466,215 ",-,"5,798,299 ","5,610,490 ",-,"6,295,162 ","5,927,628 ",-,"6,687,861 ","6,046,571 ",-
,정보및통신업,"13,368,934 ","14,468,371 ",-,"14,919,387 ","15,420,613 ",-,"16,316,970 ","16,143,368 ",-,"16,645,226 ","16,459,490 ",-,"17,504,916 ","17,830,215 ",-,"18,885,601 ","18,885,601 ",-,"19,933,355 ","20,058,880 ",-,"20,995,901 ","20,757,470 ",-,"22,373,577 ","22,249,067 ",-
,금융및보험업,"16,671,073 ","20,388,830 ",-,"20,100,273 ","22,492,103 ",-,"25,303,701 ","26,803,907 ",-,"26,145,142 ","26,799,866 ",-,"24,693,455 ","25,971,618 ",-,"27,524,326 ","27,524,326 ",-,"29,341,427 ","29,010,846 ",-,"32,904,077 ","31,799,457 ",-,"34,657,322 ","34,149,986 ",-
,부동산업및임대업,"17,475,547 ","20,316,533 ",-,"18,198,324 ","20,546,042 ",-,"19,726,604 ","20,887,314 ",-,"21,058,724 ","21,368,777 ",-,"21,411,443 ","21,327,041 ",-,"22,280,576 ","22,280,576 ",-,"23,176,253 ","22,980,131 ",-,"24,427,598 ","23,057,555 ",-,"25,119,390 ","23,071,574 ",-
,사업서비스업,"13,990,392 ","17,320,135 ",-,"15,454,919 ","18,467,152 ",-,"17,796,620 ","20,463,076 ",-,"19,908,914 ","21,251,323 ",-,"20,773,424 ","21,925,890 ",-,"21,470,280 ","21,470,280 ",-,"23,168,657 ","22,214,788 ",-,"25,170,039 ","23,252,068 ",-,"27,850,109 ","24,366,384 ",-
,"공공행정,국방및사회보장행정","5,588,297 ","7,791,117 ",-,"6,209,124 ","7,943,499 ",-,"6,866,472 ","8,069,130 ",-,"7,564,790 ","8,352,351 ",-,"8,675,296 ","8,997,230 ",-,"9,162,816 ","9,162,816 ",-,"9,773,636 ","9,482,238 ",-,"10,387,587 ","9,728,703 ",-,"10,807,704 ","9,739,915 ",-
,교육서비스업,"6,923,197 ","9,192,834 ",-,"7,471,825 ","9,342,214 ",-,"8,676,644 ","10,222,683 ",-,"9,702,062 ","10,754,243 ",-,"10,757,845 ","11,274,045 ",-,"10,797,979 ","10,797,979 ",-,"11,993,457 ","11,493,249 ",-,"13,088,776 ","11,858,233 ",-,"14,156,029 ","12,212,922 ",-
